Human1,Human1,SCOPE,MM2020,RTV,PTB
well-seasoned superhero,Superman,superhero,son to me,------,son
an impatient storm reaching to be a hurricane,dreary prison,living hell,prison in this country,i hate,prison
fortified steel,bulletproof steel,mechanical skeleton,virus,mountain be high valley,rock
valiant knight,knight in shining armor,knight,hero,mountain be high valley,chivalrous friend
daisy in a field of sunflowers,diamond in the rough,different person,god to them,every snowflake,child to your father
refined battle plan,predestination,conscious act,dream,wood furniture,dream
drunken bat swings at a dart board,unfounded teenage rumors,reverse timeline,child's,antique map,real person
ghost's treasure,an enticing secret,treasure,treasure,genetics,secret treasure
polished diamonds these days,priceless rubies,luxury item,good deal,diamond,bullet
sacred burning flame,hearth,flame,lighthouse,flower,"lighthouse, forever"
phonograph at a smartphone convention,old news,footnote in history,bunch of cult members,hippie,mafia.The majority are irrelevant
kid on Christmas morning,nerd at a comic convention,kid on Christmas morning,fairy tale villain,genetics,little angel
"vacant, air-choked library",ghost town,graveyard,ghost town,i hate,ghost town
tiger in the wild,an outcast,lonely man,real person,go to movie alone,little kid
buzzing killer bee,cocky salesman,persistent friend,brother to you,this group,a..
sunny days in London,hen's teeth,unicorn's wet dreams,game of chess,dinosaur bone,nightmare
trembling stars,glow-in-the-dark stars,thousand tiny flames,waterfall,buss pass,waterfall of light
man in a sailless boat without oars,damsel in distress,child caught in headlights,disappointed father,human baby,robot
ton of bricks,Mack truck,ton of bricks,ton of bricks,stone,tonkitty
Play-Doh commercial,mere child's play,kid's game,picnic,some person,movie
afternoon sun's rays,steaming shower,blanket,tidal wave,sunny day,warm tingling sensation
tango with Death itself,Lovecraftian tentacles,tornado,tornado,rock climb,tornado
ballistic missile,wreckingball,lightning bolt,shot,weapon,shot
clown shouldering an axe,Cruella De Vil,lunatic,fool,buss pass,maniac
it were the plunge of a poison-soaked blade,branding iron,punch to the gut,knife through her heart,love,knife
"dry, overgrown blade of grass",couch without cushions,walking corpse,child,pain,man
desperate herd of wildebeest,herd of wild horses,stampede,stampede,car,siren
tightrope walker on dental floss,nervous criminal,cat stalking its prey,lion,i hate,cat
spiraling firecracker,an electric guitar getting tuned,bullet,bullet,voice,knife
wild fire,Herpes at band camp,virus,disease,genetics,virus
hot iron sharpening skirt pleats,Honeycrisp apple,knife through butter,knife,genetics,knife
persistent garden,ivy on a castle,rose in the wind,tree,it,rosebush
murderer's heart,ring of assassins,trap,wall,rock climb,a… wall…
lightning bolt,hypodermic injection,bolt of lightning,bullet,natural energy,bullet
gentle ember,warm sunrise,warm fire,diamond,life,jewel
baby swaddled a little too tightly in a blanket,stiff sweatshirt,hotel room,museum,sofa,shrine
an enthusiastic sloth,dog with its tail between its legs,worm,mouse,tortises,a...thing...
an ambitious virus,the virus itself,plague,wave,life,plague
sweat-soaked gym socks,used paper plate,used condom,piece of paper,mountain be high valley,dirtily
an unrequited lover,loser,lost puppy,ghost,genetics,hopelessly
snapped twig,maimed animal,limp corpse,sack of potatoes,life,zombie
the carnal screams of a rock concert moshpit,discordant cacaphony,slap,freight train,genetics,freight train
the smooth curve of a pearl,vampire's dream,halo,crescent moon,sunset,a.....
an overstuffed sardine can,freight elevator,cellar,bomb shelter,attic bedroom,mine
plush blanket,the beating sun,cloak,blanket,sunny day,blanket
forbidden rubied rose,blooming rose,sunset,bloodhound,sunset,a..
scraping metal against a chalkboard,nails on a chalkboard,scream to him,dying dog,life,scream
lopsided pancake,boy in the girl's locker room,cartoon character,fish out of water,genetics,fool
melting rubber,wet wool,desert,blessing,genetics,"jacket, the air felt hot and humid"
CEO with diamond-studded sneakers,Daddy Warbucks,king,king,this group,a..
the glory of the Northen Lights,real adventure,game,movie,genetics,real skyscraper
clown in a courthouse,raving Cassandra,madman,fictional character,buss pass,cartoon character
flamingoes in Antartica,pseudo science fiction,movie,movie,life,movie
jet black against your neon green,train on another track,different language,thousand years old,buss pass,rock
identical twins with matching outfits,better friends,team,proper couple,buss pass,team
gray slabs of cement,dummies,pile of corpses,corpse on the floor,this aborigine,blanket
an unknown savior,central ingrediant,safeguard against violence,prison,rollercoasters,weapon
cat couching up a furball,sick cat,terrible idea,different story,war,great plan
an everflowing fountain,complete alter ago,superpower,super-human,ceiling,vampire
putting on velcro shoes,turning on a light,cake walk,house,learn to change car tire,Lego set
an okapi in a herd of donkeys,social pariah,weirdo,weirdo,person,..
ravenous furnace flame,megolamaniac's,lunatics,threat,read,cult becoming more unhinged
moonless night,black box,pitchblack tunnel,tunnel,closet,mirror
hollowed shells,morning after the funeral,lot on the streets,lot,read,fish completely empty
magic trick,fantastical dream,miracle,dream,rollercoasters,dream come true
the mud and leaves clogging the gutter,Scylla and Charybdas,nightmare,prison,pain,nightmare
dwindling smartphone batteries,pessimist's glass: half-empty,half empty cup,dump,buss pass,war zone
a curious toddler pressed against a store window,an eventual threat,fool,good read,study in group,mole for them
well-watched children,precious treasure,safe haven,puppet,home,promise
sun-kissed popstar,the celebrities you envied,billionaire,monster,peter,celebrity than ever
twisted shadows,manifestation of your worst anxieties,bad acid trip,dream,war,drug
gnats,bacteria invisible to the naked eye,tiny piece of God,secret society,life,ghost
creature amidst the untouchable depths of the sea,an underground cult,secret,secret,life,secret
bullet through the heart,Anthrax exposure,gunshot,drug,gunfire,drug
the king of a mighty empire,reining champion,perfect record,God,rollercoasters,superhero
very difficult,maze full of sudden combat,difficult task,nightmare,hit curve ball,..
the rising sun,highly researched hypotheses,prophecy,bolt from the blue,fact,man of action
melting snowflakes,lost childhood memories,long forgotten friend,feather,dartboard,...
blurred watercolored lines,worn ancient tablets full of heiroglyphics,veil,mirage,study in group,mirror
snowman looking at the first spring sun,helicopter mom,mother to you,child,read,mother to him
nuclear apocalyse,the start of World War III,nuclear bomb,gift,police officer,"gift to ""terrorists"""
tight fist of wasted dirt,barren wasteland,barren wasteland,petri dish,i hate,"""dead"" planet"
ladder to the heavens,spiritual buffet,treasure trove,gold mine,pi,game
useless flesh blobs,landlines in the twenty-first century,dinosaur,machine,typewriter,dinosaur
million-dollar lottery winner,kid in an infinite candy store,child on Christmas day,child,police officer,child in heaven
broken skeltetons in a closet,corpses,ghastly reality,poison,ocean,dead body
sloth at a racetrack,the early bird's worm,robot,dog,tortises,slowpoke
bullfight,sibling rivalry,wrestling match,real life game of tag,it,bad movie
glitching code,disastrous sexual encounter,bad movie,video game,murder,bad movie
held breath,TiVo remote,rewind button,movie,mountain be high valley,video game
the morning fog,spinning cotton candy,muddle,giant water balloon,cat,fog
sucking the nectar out of dried fruit,an interspecies balancing act ,slippery slope,dream,ceiling,zoo
dried-up puddle,your failing GPA,lottery,roller coaster,life,fish
pompous beauty guru,prima donna,pompous asshole,creep,rich person,jerk
gnat,wagon without wheels,poorly-trained robot,man,war,child's toy
an undercomplemented beauty queen,an insulted guest,petulant child,father,hockey player,peacock
dungeon in a fortress of shadows,villain's lair,cave,black hole,roller coaster,deep sea
beffudled toddler,the perfectly ignorant boyfriend,child with a new-found knowledge,kid at Christmas,rollercoasters,dog
the heartbeats of a million suns,an lesson to students and teachers alike,superpower,lightning bolt,police officer,jewel
puzzles with missing pieces,tightrope walk,death sentence,mirror,hit curve ball,"a ""death sentence"" to her"
titanium,Olympian gods,self-contained unit,swarm,dog and wolf,snake this indestructible
hibernating forest,cotton is stuffed in your ears,normal morning,dream,it,ghost
trapping a bird in a cage,an ever-complicated equation,self-imposed prison,game to him,ceiling,game of whack-a-mole
gray frostbitten log,stiff corpse,dead body,corpse,groucho marx,corpse
celestial emeralds,black cat's,dying sun,beacon,live grass,light
watching monkey's foodfight with bananas,Sonny and Cher,sitcom,game to be competitive,cartoon,good old fashioned feud
scorching trek through Death Valley,crawling through the desert,marathon,marathon,life,lifetime
the Garden of Eden,garden in spring,blossoming flower,morning,there,rose garden
well-cut diamond,the crown jewel of the state,painting,giant city,sunset,..
how a symphony sounds,the chef had tried,decent dinner,real food,sex,good dinner
moth to a flame,it was a bad boy in a leather jacket,moth to a flame,magnet,read,magnet
makeup artist putting lipstick on a pig,if she were a madwoman,mad woman,child,it,child again
bruised tomato,ripening tomato,tomato,tomato,blood,hot poker
gaping cave,door ajar,maw,fish,book of music,fish's
night shadow,stealthy ninja,shadow,ninja,this group,ghost undetected
soldier at dawn,in a panic,man possessed,sprinter,genetics,bolt of lightning
gentle stroll in the park,any natural setting,chore,normal man,learn to change car tire,game of cards
the ghosts of old,slain soldier,martyr,traitor,groucho marx,martyr
an abandoned museum,stone,void,prison,some film,tomb
subtle camoflage,trick mirror,mirage,shadow,person,human
being seered in the bluest part of a flame,sharp dagger,sensory overload,new level of hell,unknown,different kind
the morning dew,physical pull,tension,beacon,god,shadow
shy kindergarteners,shy little girls,deer in headlights,hivemind,dartboard,'troubled bunch'
polar ice,piercing breeze,spotlight,predator,wet grass,hawk
herald's declaration,woman who knows what she wants,man with more confidence,person,peter,knock
tightening iron fists,dystopia,dictatorship,mask,i hate,cult
green moon,new chapter in history,revolution,fairy tale,i hate,coup
sapling bending in a hurricane,lost student,child in a car wreck,ghost,night sky,ghost
sandy death trap,wasteland,desert,dry lake bed,wall,"""Drought Zone"""
half-blink,dwindling hourglass,time traveler's lifespan,desert,jokeys,clock
level-headed pilot,cool professional,perfectly normal person,ghost,depress person,child
an omniscient emperor,an almighty being,cult,god,natural energy,human being
an amateur detective,skeptical Stepford wife,conspiracy theorist,boss,ceiling,human
pale frail zombies,lepers,plague of locusts,cult of personality,peter,zombie
chopped tree in a field,our dissapointed expectations,brick on its face,rock,earth,stone
extinguished flames,deflated dummies,static screen,game,mountain be high valley,game
gold cup full of dirt,the blood is on their hands,guilty man,ticking time bomb,person who commit crime,ghost
fleshed automatons,robots with skin,computer,virus,unknown,dog
perpetual thunderstorm of misuer,more miserable plotline,nightmare,bad dream,life,nightmare
skin-permeating poison,ruthless killer,bomb,wasteland,gunfire,black hole
scream echoing through a canyon,petulant child,church bell,siren,voice,bomb
burned ashes,phased out iPhone charger,computer chip,broken radio,war,failed satellite
blak hole's event horizon,death and taxes,bad deal,plague,wood furniture,nuclear holocaust
hushed preschool classroom,drugged out patient,still and quiet,video game,it,movie
living shadows,if on vacation,cacophony,symphony,some film,symphony
items in the school lost and found,an accessable photo album,record,book,it,drug
an immovable mountain,an endless road,permanent tattoo,video game,few thing,dream
lucrative stock investment,quick investment,business,video game,play poker,sport
hyperactive sloth,cat!,strange person,child,human ear,spoiled brat
clippin the wings of a butterfly,breaking an oath,sin,poison,murder,sin
